X,Y,OBJECTID,Name_e,Nom_f,Noms_Alt_Names,Description,min_scale_echelle,max_scale_echelle,CONCISCODE
-115.8043799402,51.1341507535209,930706,Harvey Pass,Harvey Pass,,,,,Valley//Vallée
-115.842998917897,51.3715547640999,930707,Block Lakes,Block Lakes,,,,,Lake//Lac
-115.89428274027,51.4109503607972,930708,Badger Pass,Badger Pass,,,,,Valley//Vallée
-115.57032608389,51.443300699573,930709,Dormer Pass,Dormer Pass,,,,,Valley//Vallée
-115.918155003213,51.2691444484641,930710,Castle Junction,Castle Junction,,,,,Unincorporated area//Lieu non organisé
-115.82025068454,51.2736699601293,930711,Ink Pots,Ink Pots,,160,,,Spring//Source
-115.732642686451,51.3429344747545,930712,Forty Mile Summit,Forty Mile Summit,,,,,Valley//Vallée
-115.961846454993,51.4140090523165,930713,Pulsatilla Pass,Pulsatilla Pass,,,,,Valley//Vallée
-115.727591608963,51.4210760805764,930714,Flints Park,Flints Park,,,,,Valley//Vallée
-115.761802882152,51.3054932694574,930715,Mystic Pass,Mystic Pass,,,,,Valley//Vallée
-115.510713224847,51.2869398973043,930716,Stewart Canyon,Stewart Canyon,,,,,Valley//Vallée
-115.455430321896,51.3180701054617,930717,Aylmer Pass,Aylmer Pass,,,,,Valley//Vallée
-115.419080007861,51.2947896084478,930718,Aylmer Canyon,Aylmer Canyon,,,,,Valley//Vallée
-115.473878340788,51.3651467060707,930719,Spectral Lakes,Spectral Lakes,,,,,Lake//Lac
-115.183136554254,51.2793581346342,930720,Devils Gap,Devils Gap,,,,,Valley//Vallée
-115.405858226366,51.366250613428,930721,Ghost River Wilderness Area,Ghost River,Kananaskis Country,,,,Conservation area//Zone de préservation
-115.219349759627,51.269172429333,930722,Ghost Lakes,Ghost Lakes,,,,,Lake//Lac
-115.485542718485,51.6185687198063,930723,Panther River,Panther River,,,,,River//Cours d'eau
-115.81148248116,51.6092539817984,930724,Snow Creek Summit,Snow Creek Summit,,,,,Valley//Vallée
-115.930085949147,51.7486044763777,930725,Divide Pass,Divide Pass,,,,,Valley//Vallée
-115.875916673027,51.8665928895216,930726,Harrison Flats,Harrison Flats,,350,,,Low vegetation//Végétation basse
-115.01893524389,52.3481522187667,930727,Garth,Garth,,,,,Unincorporated area//Lieu non organisé
-115.075132161901,52.3693465129723,930728,Ferrier,Ferrier,,,,,Unincorporated area//Lieu non organisé
-114.913948330462,52.377631332578,930729,Rocky Mountain House,Rocky Mountain House,,20,,,Town//Ville
-114.976175640913,52.3671737249063,930730,Lochearn,Lochearn,,,,,Unincorporated area//Lieu non organisé
-114.915428227937,52.3666715313625,930731,Otway,Otway,,,,,Unincorporated area//Lieu non organisé
-114.993930758768,52.4142830256639,930732,Crimson Lake Provincial Park,Crimson Lake,,,,,Conservation area//Zone de préservation
-116.811493281884,52.2461704006804,930733,McDonald Creek,McDonald Creek,,,,,River//Cours d'eau
-116.831584974974,52.2151823957064,930734,White Goat Wilderness Area,White Goat,,,,,Conservation area//Zone de préservation
-116.973789011966,52.2404985810618,930735,Cline Pass,Cline Pass,,,,,Valley//Vallée
-116.96329498589,52.1647539779634,930736,Huntington Glacier,Huntington Glacier,,330,,,Glacier//Glacier
-117.023554515714,52.2199030734068,930737,Cataract Pass,Cataract Pass,,,,,Valley//Vallée
-116.075032402574,52.4715177005591,930738,Nordegg,Nordegg,,,,,Unincorporated area//Lieu non organisé
-116.821526508769,52.6377882195258,930739,Dowling Ford,Dowling Ford,,,,,River feature//Entité fluviale
-114.855570263073,52.0113955857342,930740,Birch Lake,,,,,,Lake//Lac
-114.788070282935,52.0063956253744,930741,Beaver Lake,,,,,,Lake//Lac
-115.823070727198,52.7333399816287,930742,Rapid Creek,,,,,,River//Cours d'eau
-115.729737287263,52.6994511232573,930743,Moose Basin,,,,,,Lake//Lac
-115.640848255966,52.3925066553555,930744,Lundine Creek,,,,,,River//Cours d'eau
-115.576959387402,52.4480622554564,930745,Sunset Creek,,,,,,River//Cours d'eau
-115.586959420906,52.4502844700505,930746,Ancona,,,,,,Unincorporated area//Lieu non organisé
-115.547237154202,52.4502844746685,930747,Jackfish Creek,,,,,,River//Cours d'eau
-115.525570592792,52.4422288813264,930748,Camp Creek,,,,,,River//Cours d'eau
-115.131959142355,52.0155622814286,930749,Moose Creek,,,,,,River//Cours d'eau
-114.884459196881,52.3713956623043,930750,Lodge,,,,,,Unincorporated area//Lieu non organisé
-114.862514788459,52.3722289937295,930751,Lake Ernie,,,,,,Lake//Lac
-114.76807036661,52.2102845127241,930752,Clear Creek,,,,,,River//Cours d'eau
-114.672514764052,52.3430623383559,930753,Alhambra,,,,,,Unincorporated area//Lieu non organisé
-114.669958796311,52.378117728822,930754,Horseguard Creek,,,,,,River//Cours d'eau
-115.281959322327,52.4111177927567,930755,Horburg,,,,,,Unincorporated area//Lieu non organisé
-115.224737158417,52.4641734053617,930756,Radial Lake,,,,,,Lake//Lac
-115.126681594273,52.4122289217618,930757,Louis Lake,,,,,,Lake//Lac
-115.036681580338,52.4586178181174,930758,Crimson Lake,,,,,,Lake//Lac
-115.778070561061,52.2661177579115,930759,Pinto Creek,,,,,,River//Cours d'eau
-114.988903797272,52.4494512112433,930760,Prentice Creek,,,,,,River//Cours d'eau
-114.967792638515,52.4802845446055,930761,Chicken Creek,,,,,,River//Cours d'eau
-114.97112596759,52.5202845023687,930762,Canyon Creek,,,,,,River//Cours d'eau
-115.818348305874,52.2966733177668,930763,Easy Creek,,,,,,River//Cours d'eau
-115.831126111624,52.3302844091875,930764,Gap Lake,,,,,,Lake//Lac
-115.644459241221,52.0494511011904,930765,Elk Creek,,,,,,River//Cours d'eau
-115.533903762282,52.0400066317714,930766,Radiant Creek,,,,,,River//Cours d'eau
-115.526681575808,52.0358399932875,930767,Idlewilde Creek,,,,,,River//Cours d'eau
-115.650292747946,52.1511177193607,930768,Crescent Creek,,,,,,River//Cours d'eau
-115.588348207445,52.1677843935639,930769,Gloomy Creek,,,,,,River//Cours d'eau
-115.374181579458,52.1836177507051,930770,Forty-five Mile Creek,,,,,,River//Cours d'eau
-115.350292653095,52.2052844663348,930771,Two Dam Creek,,,,,,River//Cours d'eau
-115.180848144206,52.1197288918132,930772,Swan Lake,,,,,,Lake//Lac
-115.192792631031,52.2069511475365,930773,Base Line Creek,,,,,,River//Cours d'eau
-115.120848104809,52.0663955951822,930774,Tay Lake,,,,,,Lake//Lac
-115.0925147401,52.0430622220636,930775,Tay River,,,,,,River//Cours d'eau
-115.083314767301,52.0667066932535,930776,Alford Lake,,,,,,Lake//Lac
-114.968348071771,52.1000067110172,930777,Phyllis Lake,,,,,,Lake//Lac
-115.110848115752,52.2038956184263,930778,Moosewallow Creek,,,,,,River//Cours d'eau
-114.996125892779,52.1655622520433,930779,Matts Creek,,,,,,River//Cours d'eau
-115.00112587367,52.203617849053,930780,Strubel Lake,,,,,,Lake//Lac
-114.996681562948,52.5413956648561,930781,Buster Creek,,,,,,River//Cours d'eau
-114.991126037726,52.5444512041961,930782,Little Beaver Creek,,,,,,River//Cours d'eau
-115.301182036982,52.6584786635768,930783,Baptiste River,,,,,,Unincorporated area//Lieu non organisé
-115.138626061704,52.6622289144003,930784,Deserters Creek,,,,,,River//Cours d'eau
-115.045014910787,52.6036178776799,930785,Big Beaver Creek,,,,,,River//Cours d'eau
-115.099181653171,52.6563956168688,930786,No Name Creek,,,,,,River//Cours d'eau
-114.949459207293,52.3980622627557,930787,Rocky Children's Pond,,,,,,Lake//Lac
-115.855015173793,52.7363955223184,930788,Stevens Creek,,,,,,River//Cours d'eau
-115.786126226619,52.743895568334,930789,Grey Owl Creek,,,,,,River//Cours d'eau
-115.651681823768,52.77861779355,930790,Sylvester Creek,,,,,,River//Cours d'eau
-115.55223714771,52.2641733501611,930791,Fall Creek,,,,,,River//Cours d'eau
-115.55529270816,52.3119511285327,930792,Tawadina Creek,,,,,,River//Cours d'eau
-115.498903851381,52.2988955652483,930793,Makwa Creek,,,,,,River//Cours d'eau
-115.573348263823,52.3625066619113,930794,Meadows Creek,,,,,,River//Cours d'eau
-115.360292697081,52.2455621943395,930795,Dry Creek,,,,,,River//Cours d'eau
-115.414181592378,52.3758400264343,930796,Ram River,,,,,,River//Cours d'eau
-115.298348153559,52.2513955922145,930797,Lick Creek,,,,,,River//Cours d'eau
-115.278070489893,52.2597288836658,930798,Skunk Creek,,,,,,River//Cours d'eau
-115.184181583295,52.2472288776669,930799,Rat Lake,,,,,,Lake//Lac
-115.158903770942,52.2697289223105,930800,North Prairie Creek,,,,,,River//Cours d'eau
-115.081681520467,52.2125066864165,930801,Vetch Creek,,,,,,River//Cours d'eau
-115.1314037496,52.260284453537,930802,Strachan,,,,,,Unincorporated area//Lieu non organisé
-114.929737122361,52.7897290145427,930803,Cranberry Creek,,,,,,River//Cours d'eau
-114.805014972271,52.8008400806167,930804,Cranberry Lake,,,,,,Lake//Lac
-114.794737162664,52.8086179020261,930805,Blindtrail Lake,,,,,,Lake//Lac
-114.742792715882,52.7441734691634,930806,Medicine Lake,,,,,,Lake//Lac
-114.76445937658,52.8002845335406,930807,Gosling Lake,,,,,,Lake//Lac
-114.689737132127,52.8383401393064,930808,Ille Lake,,,,,,Lake//Lac
-115.482792771157,52.3930622265958,930809,Rough Creek,,,,,,River//Cours d'eau
-115.478348270204,52.4080622359413,930810,Lewis Creek,,,,,,River//Cours d'eau
-115.478626053554,52.4136177565203,930811,Trout Creek,,,,,,River//Cours d'eau
-115.356126057107,52.5425067278276,930812,Chambers Creek,,,,,,River//Cours d'eau
-115.349181653429,52.5580622840775,930813,Grace Creek,,,,,,River//Cours d'eau
-115.566715030318,52.5667066676708,930814,Lawrence Creek,,,,,,River//Cours d'eau
-115.373348306463,52.6286177933329,930815,Brewster Creek,,,,,,River//Cours d'eau
-114.80001477888,52.389728996692,930816,Codner,,,,,,Unincorporated area//Lieu non organisé
-114.785570437059,52.457228971855,930817,Bingley,,,,,,Unincorporated area//Lieu non organisé
-114.752514807894,52.4950068024993,930818,East Lobstick Creek,,,,,,River//Cours d'eau
-114.752514807894,52.4950068024993,930819,West Lobstick Creek,,,,,,River//Cours d'eau
-114.636125962993,52.5527845349545,930820,Carlos,,,,,,Unincorporated area//Lieu non organisé
-114.604736932304,52.3833400807399,930821,Leslieville,,,,,,Unincorporated area//Lieu non organisé
-114.500014741742,52.3833067804945,930822,Withrow,,,,,,Unincorporated area//Lieu non organisé
-114.474736988201,52.5419511951421,930823,Welch Creek,,,,,,River//Cours d'eau
-114.553625897535,52.5783401311,930824,Block Creek,,,,,,River//Cours d'eau
-114.552514650485,52.1419512359695,930825,Hale Lake,,,,,,Lake//Lac
-114.597514677951,52.1738956659923,930826,Stauffer,,,,,,Unincorporated area//Lieu non organisé
-114.538625783204,52.2322289449377,930827,Evergreen,,,,,,Unincorporated area//Lieu non organisé
-114.555292554301,52.3263956967272,930828,Condor,,,,,,Unincorporated area//Lieu non organisé
-114.567792590108,52.3638956564058,930829,Lobstick Creek,,,,,,River//Cours d'eau
-114.503625843372,52.3802845486426,930830,Blueberry Creek,,,,,,River//Cours d'eau
-115.007236961202,52.2163955575617,930831,Mitchell Lake,,,,,,Lake//Lac
-114.966681534578,52.2333400891523,930832,Congresbury,,,,,,Unincorporated area//Lieu non organisé
-115.014181549942,52.27056227357,930833,Cow Lake,,,,,,Lake//Lac
-115.100014842434,52.3000067068398,930834,Heifer Creek,,,,,,River//Cours d'eau
-115.091403736987,52.3577845217836,930835,Cow Creek,,,,,,River//Cours d'eau
-115.016714847552,52.3667067216201,930836,Ullin,,,,,,Unincorporated area//Lieu non organisé
-114.948903640268,52.0855622679655,930837,Ricinus,,,,,,Unincorporated area//Lieu non organisé
-114.880570327974,52.0847289418344,930838,Alford Creek,,,,,,River//Cours d'eau
-114.834459145041,52.174173414237,930839,Chedderville,,,,,,Unincorporated area//Lieu non organisé
-114.68195906737,52.064451217461,930840,Beaver Creek,,,,,,River//Cours d'eau
-114.771403664962,52.1688955891149,930841,Mud Creek,,,,,,River//Cours d'eau
-114.728070316288,52.1883401065749,930842,Butte,,,,,,Unincorporated area//Lieu non organisé
-114.859736985165,52.2444511529321,930843,Dovercourt,,,,,,Unincorporated area//Lieu non organisé
-114.920292586901,52.3294511880815,930844,Prairie Creek,,,,,,River//Cours d'eau
-114.947792616496,52.3619511773923,930845,Clearwater River,,,,,,River//Cours d'eau
-116.056126222568,52.661951028418,930846,Colt Creek,,,,,,River//Cours d'eau
-115.93331494992,52.0833065974185,930847,Hummingbird Creek,,,,,,River//Cours d'eau
-115.983348334257,52.1913954983857,930848,Otter Creek,,,,,,River//Cours d'eau
-115.838903856449,52.0883399263472,930849,Ram Falls,,,,,,Falls//Chute
-115.839214937508,52.0969066087867,930850,Ram Falls Provincial Park,Ram Falls,,,,,Conservation area//Zone de préservation
-115.747514956782,52.118617714863,930851,Lynx Creek,,,,,,River//Cours d'eau
-115.93084822046,52.0238954768423,930852,Ranger Creek,,,,,,River//Cours d'eau
-115.72195924557,52.001395542955,930853,Washout Creek,,,,,,River//Cours d'eau
-115.967792781181,52.2091732669463,930854,Side Creek,,,,,,River//Cours d'eau
-115.968626131229,52.276673234198,930855,Lynch Creek,,,,,,River//Cours d'eau
-115.911959427117,52.2655621945547,930856,Philip Creek,,,,,,River//Cours d'eau
-115.883626065652,52.2580621491321,930857,Cripple Creek,,,,,,River//Cours d'eau
-115.968626142708,52.3125066320592,930858,Jock Lake,,,,,,Lake//Lac
-115.809737147983,52.2700066273571,930859,Nice Creek,,,,,,River//Cours d'eau
-115.93807069318,52.3925066204602,930860,Dutch Creek,,,,,,River//Cours d'eau
-115.91307065091,52.3927843992039,930861,Jock Creek,,,,,,River//Cours d'eau
-115.907237264401,52.3941732867209,930862,Gap Creek,,,,,,River//Cours d'eau
-115.883315042875,52.4000066179157,930863,The Gap,,,,,,Valley//Vallée
-115.955570723903,52.5113955392262,930864,Harlech,,,,,,Unincorporated area//Lieu non organisé
-115.839181735941,52.4172288049369,930865,Dizzy Creek,,,,,,River//Cours d'eau
-115.835570648975,52.4188955467669,930866,Deep Creek,,,,,,River//Cours d'eau
-115.765015048596,52.4552844219795,930867,Taunton Creek,,,,,,River//Cours d'eau
-115.719737260554,52.4533399881617,930868,Saunders Creek,,,,,,River//Cours d'eau
-115.706126135218,52.4497289028881,930869,Slippery Creek,,,,,,River//Cours d'eau
-115.825015083882,52.4786177063397,930870,Stolberg,,,,,,Unincorporated area//Lieu non organisé
-115.78307060123,52.4752843906835,930871,Alexo,,,,,,Unincorporated area//Lieu non organisé
-115.482514871944,52.0025066713451,930872,Cutoff Creek,,,,,,River//Cours d'eau
-115.325014765711,51.9844510631314,930873,Seven Mile Creek,,,,,,River//Cours d'eau
-114.669181345926,52.0286178263091,930874,Crammond,,,,,,Unincorporated area//Lieu non organisé
-115.013070425558,52.1944511522364,930875,Swan Creek,,,,,,River//Cours d'eau
-115.028625979349,52.4477844649968,930876,Crimson Lake,,,,,,Unincorporated area//Lieu non organisé
-115.723903906829,52.4588955132013,930877,Saunders,,,,,,Unincorporated area//Lieu non organisé
-115.238903791004,52.3083399849462,930878,Cold Creek,,,,,,River//Cours d'eau
-115.568070647572,52.5041733178849,930879,Jackfish Lake,,,,,,Lake//Lac
-115.105570477314,52.3100067475372,930880,Bull Creek,,,,,,River//Cours d'eau
-115.705570453966,52.0388955112909,930881,Peppers Lake,,,,,,Lake//Lac
-115.842515120157,52.6144510582246,930882,McGregor Lake,,,,,,Lake//Lac
-115.778903949847,52.4552844202896,930883,Shunda Creek,,,,,,River//Cours d'eau
-115.251125901632,52.1713956028745,930884,Flare Creek,,,,,,River//Cours d'eau
-115.645570519394,52.0494511014157,930885,Peppers Creek,,,,,,River//Cours d'eau
-115.646403821408,52.2497288938257,930886,North Ram River,,,,,,River//Cours d'eau
-115.989181685125,52.0775065493137,930887,Canary Creek,,,,,,River//Cours d'eau
-115.075014945518,52.6736178389994,930888,Baptiste River,,,,,,River//Cours d'eau
-115.29557011481,51.0508399330137,930889,Stewart Creek,,,,,,River//Cours d'eau
-116.414459433769,52.0969510073889,930890,Wilson Creek,,,,,,River//Cours d'eau
-116.505292893895,52.1608398728478,930891,Coral Creek,,,,,,River//Cours d'eau
-116.530015077081,52.1780620885408,930892,Coral Creek Canyon,,,,,,Valley//Vallée
-116.480015085032,52.1719510107061,930893,Cline River,,,,,,River//Cours d'eau
-116.478903983631,52.1886176772578,930894,Cline River,,,,,,Unincorporated area//Lieu non organisé
-116.484737287706,52.1908398864154,930895,Whitegoat Lakes,,,,,,Lake//Lac
-116.465292873271,52.2136176229545,930896,Whitegoat Creek,,,,,,River//Cours d'eau
-116.427237262684,52.2236176631153,930897,Abraham Lake,,,,,,Lake//Lac
-116.374737311749,52.2902843075168,930898,Allstones Creek,,,,,,River//Cours d'eau
-116.418626221879,52.3025065486815,930899,Allstones Lake,,,,,,Lake//Lac
-116.288070611201,52.0736176414584,930900,Farley Lake,,,,,,Lake//Lac
-116.376126277755,52.5708398711291,930901,Sturrock Creek,,,,,,River//Cours d'eau
-116.436404124147,52.7008399146033,930902,Seepage Creek,,,,,,River//Cours d'eau
-116.354181810224,52.3872288206834,930903,Crescent Falls,,,,,,Falls//Chute
-116.215015115665,52.3850065435093,930904,Haven Creek,,,,,,River//Cours d'eau
-116.207792936651,52.422784376119,930905,Gonika Creek,,,,,,River//Cours d'eau
-116.192237303959,52.4488955109805,930906,Goldeye Lake,,,,,,Lake//Lac
-116.157515078921,52.3994510065312,930907,Black Canyon Creek,,,,,,River//Cours d'eau
-116.169459485376,52.4563954734491,930908,Shanks Lake,,,,,,Lake//Lac
-116.151404022422,52.4516732844769,930909,Shunda Lake,,,,,,Lake//Lac
-116.065570695457,52.3986176828164,930910,South Creek,,,,,,River//Cours d'eau
-116.077792880574,52.4691732774108,930911,Brazeau,,,,,,Unincorporated area//Lieu non organisé
-116.100015113016,52.4833065996298,930912,Dog Creek,,,,,,River//Cours d'eau
-116.300570783047,52.5763954896107,930913,Stovepipe Creek,,,,,,River//Cours d'eau
-116.343348522945,52.6141732216611,930914,Wapiabi Creek,,,,,,River//Cours d'eau
-116.338904103274,52.6180621793767,930915,Beaver Flat,,,,,,Plain//Plaine
-116.369737253999,52.0241732012569,930916,Siffleur Falls,,,,,,Falls//Chute
-116.924459622378,52.3838953585255,930917,Upper Longview Lake,,,,,,Lake//Lac
-116.863348510344,52.418062100561,930918,Obstruction Lakes,,,,,,Lake//Lac
-116.871959681335,52.4977843130069,930919,Job Creek,,,,,,River//Cours d'eau
-116.826681972536,52.4825065337791,930920,Whisker Creek,,,,,,River//Cours d'eau
-116.535293093991,52.7511176620644,930921,Ashburner Creek,,,,,,River//Cours d'eau
-116.512793048838,52.7516732175087,930922,Clark Creek,,,,,,River//Cours d'eau
-116.486404215819,52.7541732067219,930923,Dorothy Creek,,,,,,River//Cours d'eau
-116.451959702491,52.7625065833914,930924,McCormick Creek,,,,,,River//Cours d'eau
-116.863070725222,52.1238954162661,930925,Pinto Lake,,,,,,Lake//Lac
-116.853348470006,52.1411176363734,930926,Huntington Creek,,,,,,River//Cours d'eau
-116.821682043051,52.6375065453391,930927,Dowling Ford,,,,,,River//Cours d'eau
-116.811404238414,52.6444509534561,930928,Opabin Creek,,,,,,River//Cours d'eau
-116.807515309475,52.700562098881,930929,Race Creek,,,,,,River//Cours d'eau
-116.628626235394,52.0850065121414,930930,Lake of Falls,,,,,,Lake//Lac
-116.317237379997,52.6119510147638,930931,Shanks Creek,,,,,,River//Cours d'eau
-116.317515241225,52.6152843352116,930932,Lookout Creek,,,,,,River//Cours d'eau
-116.300015201989,52.6333065827277,930933,Nelson Flat,,,,,,Plain//Plaine
-116.32834854098,52.6869510347827,930934,Hansen Creek,,,,,,River//Cours d'eau
-116.842792970065,52.1450065000122,930935,Cataract Creek,,,,,,River//Cours d'eau
-116.316715232009,52.7167065847175,930936,Chungo Creek,,,,,,River//Cours d'eau
-116.263904104907,52.7261176670366,930937,Brown Creek,,,,,,River//Cours d'eau
-116.022792952088,52.5763955229049,930938,Swale Creek,,,,,,River//Cours d'eau
-116.035015157001,52.7238954842661,930939,Wawa Creek,,,,,,River//Cours d'eau
-116.683626221349,52.15389536575,930940,Waterfalls Creek,,,,,,River//Cours d'eau
-116.579459496879,52.1216731558117,930941,Shoe Leather Creek,,,,,,River//Cours d'eau
-116.582237270031,52.1525064956734,930942,Entry Creek,,,,,,River//Cours d'eau
-116.404181781556,52.0577842950593,930943,Siffleur River,,,,,,River//Cours d'eau
-116.404181784209,52.0652843441343,930944,Two O'Clock Creek,,,,,,River//Cours d'eau
-116.406959465213,52.0716731933425,930945,Kootenay Plains,,,,,,Plain//Plaine
-116.926681919378,52.3758398466563,930946,Lower Longview Lake,,,,,,Lake//Lac
-116.784737427322,52.2830620811565,930947,Coral Lake,,,,,,Lake//Lac
-116.866959655531,52.3352842589435,930948,Leah Lake,,,,,,Lake//Lac
-116.857237406448,52.338895356985,930949,Samson Lake,,,,,,Lake//Lac
-116.852792994567,52.3683398114554,930950,Job Lake,,,,,,Lake//Lac
-116.191126098432,52.1177843386184,930951,Onion Lake,,,,,,Lake//Lac
-116.019737176109,52.0977843772214,930952,Onion Creek,,,,,,River//Cours d'eau
-116.287515130333,52.3213954303983,930953,Crooked Creek,,,,,,River//Cours d'eau
-116.252237624691,52.3330621274816,930954,Tershishner Creek,,,,,,River//Cours d'eau
-116.106126346479,52.81472881893,930955,Rundell Creek,,,,,,River//Cours d'eau
-116.757792982233,52.351395380952,930956,Job Pass,,,,,,Valley//Vallée
-116.247792874173,52.3558398618192,930957,Bighorn River,,,,,,River//Cours d'eau
-116.050015031784,52.2667065908755,930958,Kiska Creek,,,,,,River//Cours d'eau
-116.674459602282,52.4344510081041,930959,Whisker Lakes,,,,,,Lake//Lac
